"species"	"month"	"year"	"age.years"	"ind.code"	"Plot"	"Subplot"	"species.group"	"Trunks"	"Total.height.m"	"crown.diameter1.m"	"crown.diameter2.m"	"crown.height.m"	"species.status"	"DBH.cm"	"RCD.cm"
"Albizia polycephala"	"June"	2011	0.5	"1313al.po"	1	2	"diversity"	1	1.25	0.45	0.28	0.8	1	NA	1.183
"Albizia polycephala"	"November"	2011	1	"1313al.po"	1	2	"diversity"	1	0.3	0.26	0.25	0.2	1	NA	0.304
"Albizia polycephala"	"June"	2012	1.5	"1313al.po"	1	2	"diversity"	1	1.82	0.6	0.69	0.7	1	NA	1.502
"Albizia polycephala"	"November"	2012	2	"1313al.po"	1	2	"diversity"	1	2.15	0.57	1.03	1.8	1	NA	2.504
"Albizia polycephala"	"May"	2013	2.5	"1313al.po"	1	2	"diversity"	1	2.6	1.53	1.87	1.8	1	NA	4.192
"Albizia polycephala"	"November"	2013	3	"1313al.po"	1	2	"diversity"	1	2.4	0.7	0.9	2.3	1	NA	4.672
"Albizia polycephala"	"June"	2014	3.5	"1313al.po"	1	2	"diversity"	1	3.75	1.35	2.38	2	1	NA	8
"Albizia polycephala"	"December"	2014	4	"1313al.po"	1	2	"diversity"	1	4.75	1.35	3.3	3.3	1	NA	9.394
"Albizia polycephala"	"August"	2019	8.5	"1313al.po"	1	2	"diversity"	1	13.5	7.5	8.1	4.2	1	19.765305461844	29.2035371202058
"Albizia polycephala"	"June"	2011	0.5	"1321al.po"	1	3	"diversity"	1	1.43	0.39	0.24	1.1	1	NA	1.69
"Albizia polycephala"	"November"	2011	1	"1321al.po"	1	3	"diversity"	1	0.58	0.3	0.32	0.2	1	NA	0.627
"Albizia polycephala"	"June"	2012	1.5	"1321al.po"	1	3	"diversity"	1	2.12	1.06	0.85	0.7	1	NA	2.793
"Albizia polycephala"	"November"	2012	2	"1321al.po"	1	3	"diversity"	1	3.05	2.44	1.3	1.9	1	NA	4.638
"Albizia polycephala"	"May"	2013	2.5	"1321al.po"	1	3	"diversity"	1	3.75	1.55	1.5	2.5	1	NA	7.133
"Albizia polycephala"	"November"	2013	3	"1321al.po"	1	3	"diversity"	1	3.6	1.3	1.1	2.7	1	NA	7.404
"Albizia polycephala"	"June"	2014	3.5	"1321al.po"	1	3	"diversity"	1	5.15	2.1	2.63	3.5	1	5.98	9.73
